module,sub_intent,question,answer,keywords
campus_life,general_info,What is the main focus of XMUM?,"Xiamen University Malaysia aspires to become a university with a distinct global outlook, featuring first-class teaching and research, and embracing cultural diversity. It is committed to nurturing young talents with dignity and wisdom, helping them become responsible, steadfast members of society who will be able to contribute to the people, as well as to the social progress of Malaysia, China and Southeast Asia.","mission,vision,global,diversity"
campus_life,general_info,What is the motto of XMUM?,"The motto of XMUM is ""Pursuing Excellence, Striving for Perfection"".","motto,excellence,perfection"
campus_life,general_info,How is XMUM’s parent university –XMU ranked globally?,"XMU, founded in 1921 by Mr. Tan Kah Kee, was the first Chinese higher educational institution established by an overseas Chinese. According to the “2025–2026 Best Global Universities Rankings,” XMU is ranked 189th globally.","parent university,ranking,XMU,global"
campus_life,general_info,Where is XMUM located?,"XMUM is located at Jalan Sunsuria, Bandar Sunsuria, Sepang, only a 5-minute drive from ERL Salak Tinggi, a 10-minute drive from Kuala Lumpur International Airport, and a 15-minute drive from the Government Administrative Center - Putrajaya.","location,address,Sepang,airport"
campus_life,general_info,How is the campus of XMUM?,"XMUM has a purpose-built campus occupying an area of 150 acres with an estimated total investment of RM 1.3 billion. The maximum capacity of the campus is 10,000 students.","campus,size,investment,capacity"
campus_life,general_info,What are the facilities available to students?,"XMUM is equipped with state-of-the-art facilities, such as multimedia lecture halls, seminar rooms, tutorial rooms, multi-purpose student activity center with Olympic-sized swimming pool, gym, library, and labs.","facilities,campus,amenities,students"
campus_life,general_info,What are the programmes offered? What are the most popular programmes of XMUM?,Each programme is endowed with its own merits and students have the liberty to choose the programmes that piques their interests.,"programmes,courses,offerings"
campus_life,general_info,How many semesters are there in each academic year?,There are three semesters per academic year for all programmes.,"semesters,academic year,duration"
campus_life,general_info,What is the medium of instruction?,"Except for some Chinese Studies and Traditional Chinese Medicine courses conducted in Chinese, all the other programmes will be delivered in English.","language,instruction,English,Chinese"
campus_life,general_info,Where are the teaching faculty from?,"About 30% of our teaching faculty are from Xiamen University in China, while the rest are recruited from around the globe. In addition, 80% of our academic staff hold doctoral degrees.","faculty,staff,origin,qualifications"
campus_life,general_info,Are the programmes at XMUM recognised internationally?,"Yes, all the programmes offered are internationally recognised, with dual approval from both the Malaysian and Chinese governments.","recognition,international,accreditation"
campus_life,general_info,Are the foundation programmes of other institutions recognised by XMUM?,"Yes, we recognise foundation programmes from other institutions that are accredited by MOHE Malaysia. Admission, however, is subject to a stringent internal evaluation process.","foundation,recognition,transfer,MOHE"
campus_life,general_info,What do students need to do if they want to transfer credits of their previous studies?,"Students need to complete the External Credit Transfer Application Form, provide transcripts and detailed syllabi of their previous studies for us to make assessment. Only when the similarity of the two courses reaches 80% can credit transfer be considered. In such cases, students may be exempted from qualified courses and receive the corresponding fee waiver. The application for credit transfer will only be processed after the students have been admitted to XMUM.","credit transfer,application,transcripts,syllabi"
campus_life,general_info,How long does it take to complete a degree?,"The duration for bachelor degree programmes of arts, management and economics is three years while it takes four years to complete the engineering and science degree progammes. The traditional Chinese medicine programme is 5-year in length.","degree duration,length,bachelor,programmes"
campus_life,general_info,What is the average class size?,About 20 - 40 students per class.,"class size,students,learning"
campus_life,general_info,How many credit hours do I need to complete for graduation?,"The minimum credits for graduation vary for different programmes. Only when a student fulfils the minimum credits required and attains at least a CGPA of 2.0 (for foundation and undergraduate programmes), can he or she be conferred a degree.","graduation,credits,CGPA,requirements"
campus_life,general_info,Do students have opportunities to study abroad?,"Yes. XMUM collaborates with more than 40 partner universities, providing students with opportunities to study abroad or join exchange programmes for one semester or an academic year. Students may also undertake internships or pursue postgraduate studies either in Malaysia or overseas. The international recognition of XMUM’s qualifications further supports graduates in building strong and successful careers.","study abroad,exchange,international,opportunities"
campus_life,general_info,How to apply to study at XMUM?,"To study here, the applicant can submit an online application, an email application or a paper application.","application,how to apply,online,email"
campus_life,general_info,What is the entry requirement for each programme?,"To be eligible for XMUM’s foundation programmes, the applicant needs to possess either of the following qualifications - SPM, O-level, etc. To be eligible for XMUM’s undergraduate programmes, the applicant needs to possess either of the following qualifications - STPM, UEC, matriculation, foundation, A-level, diploma, etc.","entry requirements,foundation,undergraduate,qualifications"
campus_life,general_info,How many intakes are there in one year?,"For undergraduate programmes, the intakes are in February, April and September. For foundation programmes, the intakes are in April, August, and December.","intakes,admissions,enrollment,dates"
campus_life,general_info,"After gaining a letter of acceptance, what should an applicant do next?",The applicant needs to sign the Student Acceptance Slip and email the scanned copy to the Admissions Office (admissions@xmu.edu.my).,"acceptance,post-offer,next steps,email"
campus_life,general_info,How much does a degree cost?,"For tuition fees, please click here.","tuition fees,cost,degree,expenses"
campus_life,general_info,Does XMUM provide any scholarships? What are the minimum requirements for receiving the scholarships?,Merit-based scholarships are available based on the academic achievements of students. Study grants are provided to students with siblings studying at XMUM or students whose parents are teachers.,"scholarships,financial aid,grants,merit-based"
campus_life,general_info,Is on-campus accommodation provided?,"XMUM provides on-campus accommodation to all registered students. Students are encouraged to live in campus residences, as living on campus fosters a spirit of cooperation and camaraderie that develops into lifelong friendships, and facilitates participation in extra-curricular activities through various cultural, recreational and social programmes.","accommodation,on-campus,housing,residence"
campus_life,general_info,How much is the rental?,The rental ranges from RM 340 to RM 460 per month. Each of the registered student who lives in the campus residences is required to pay a deposit of RM500 (refundable) together with one-semester rental upon check-in.,"rental,cost,deposit,monthly"
campus_life,general_info,What security precautions does the University take on campus?,The hostel is guarded by security guards and is under 24 hour CCTV surveillance every day. We have also installed access controller for main entrances of each hostel block and students need to get through by their Student ID card. Unauthorized guests are barred from entering or staying in the compound of student hostels including rooms and communal areas.,"security,safety,hostel,CCTV"
campus_life,general_info,Do students need to observe any curfew regulation?,The curfew set for the residences is 12:00 am. Residents who wish to leave or return to the campus ground after 12:00 am must report at the guardhouse with their student IDs.,"curfew,regulations,hostel,reporting"
campus_life,general_info,Are there any laundry facilities available?,"Yes, there is a laundry room on the ground floor of each block, providing high-efficiency and fully automatic washing machines and dryers.","laundry,facilities,washing,dryers"
campus_life,general_info,Are students allowed to stay in the hostel during semester breaks?,"Yes, students can stay on campus during semester breaks.","semester break,stay,hostel"
campus_life,general_info,Do students need to bring their own cleaning supplies to clean their rooms?,"Yes, students need to bring cleaning supplies, as they are responsible for the tidiness and cleanliness of their own bedrooms.","cleaning,supplies,rooms,responsibility"
campus_life,general_info,Is mattress provided in the room?,"Yes, we provide quality mattress. However, students need to bring their own pillows and other necessary bedding items.","mattress,bedding,room,provided"
campus_life,general_info,Is electric fan allowed to be used in the hostel room?,"There is an air-conditioner in each room. If it is necessary, students may bring their own electric fan.","electric fan,air-conditioner,room,appliances"
campus_life,general_info,Is there a variety of food offered at XMUM canteen?,"Yes, there are different vendors selling different types of food, catering to the different needs of students.","food,canteen,vendors,dining"
campus_life,general_info,What kind of sports facilities does XMUM provide?,"We have indoor and outdoor basketball courts, an Olympic-sized football field, a track, a gymnasium, a table tennis room, a badminton court, an Olympic-sized swimming pool, a gymnastic room, a martial arts room, a yoga room, etc. Currently, all of the facilities above are free and accessible to all the staff and students.","sports,facilities,recreation,free"
campus_life,general_info,Are there any student insurance plans available?,"XMUM purchases student personal accident insurance plan to provide adequate coverage for all the registered students. The personal accident insurance covers the cost of hospitalization. However, students need to pay the difference if the medical charges exceed the maximum coverage amount.","insurance,accident,medical,coverage"
campus_life,general_info,Where can students get medical assistance?,"We have a clinic on campus, which operates 24 hours a day.","medical,clinic,health,assistance"
campus_life,general_info,"In an event of an emergency, who should be contacted?","In an event of an emergency, students should call the 24-hour XMUM Emergency Helpline - 0193489999. They could also contact the police stations in Sepang, Dengkil and Bandar Baru Salak Tinggi, by calling the numbers 03-31421222, 03-87686222 and 03-87774484 respectively.","emergency,contact,helpline,police"
campus_life,general_info,Are there counselling services available to students?,"Yes, we have a Counselling Center which provides a range of free and strictly confidential services to promote the intellectual, emotional, social growth and development of XMUM students. The range of services include Individual counselling, group counselling, psychological testing, etc.","counselling,mental health,support,free"
academic_navigation,internship_career,What is the primary role of the Career Services Office (CSO) at Xiamen University Malaysia?,"The Career Services Office (CSO) supports students and graduates in navigating the world of careers, turning aspirations into action, and potential into purpose.","career,support,students,graduates"
academic_navigation,internship_career,Who does the Career Services Office (CSO) provide support to?,The Career Services Office (CSO) provides guidance and support to students and graduates of Xiamen University Malaysia (XMUM).,"students,graduates,support,XMUM"
academic_navigation,internship_career,What kind of assistance does Career Coaching offer?,"Career Coaching offers personalized one-on-one sessions to help students discover strengths, clarify goals, and explore their best-fit career path with clarity and confidence.","coaching,strengths,goals,path"
academic_navigation,internship_career,What topics are covered in the workshops offered by the Career Services Office?,"Workshops cover practical skills such as crafting standout resumes, mastering interviews, and personal branding, designed to equip students for success.","workshops,resumes,interviews,branding"
academic_navigation,internship_career,How does the Career Services Office connect students with employers?,The Career Services Office organizes signature campus career fairs and on-campus recruitment events to connect students with recruiters and explore industries.,"career fairs,employers,recruitment,opportunities"
academic_navigation,internship_career,What support is available for internships and job placements?,The Career Services Office leverages its strong employer network to help students land internships and job opportunities that align with their passion and potential.,"internships,job placement,employer network,opportunities"
academic_navigation,internship_career,What benefits do Industry Partnerships and MoUs provide to students?,"Industry Partnerships and Memorandums of Understanding (MoUs) create long-term collaborations that offer students early access to job offers, mentorship, and real-world projects.","partnerships,MoUs,job offers,mentorship"
academic_navigation,internship_career,What is the mission of the Career Services Office at Xiamen University Malaysia?,"The mission of the Career Services Office is to empower XMUM students to confidently pursue their purpose and potential, with heart, skill, and the support they need to thrive.","mission,empower,purpose,potential"
academic_navigation,internship_career,How can students make an appointment with the Career Services Office?,Students can make an appointment by sending an email to careerservices@xmu.edu.my before visiting.,"contact,appointment,email,careerservices@xmu.edu.my"
academic_navigation,internship_career,Where is the Career Services Office located?,The Career Services Office is located at B1-107.,"location,office,B1-107,contact"
campus_life,general_info,What department manages clubs and societies at Xiamen University Malaysia?,The Extra-Curricular Activities (ECA) Department manages clubs and societies at Xiamen University Malaysia.,"ECA,department,Xiamen,Malaysia"
campus_life,general_info,What is the overall goal of joining clubs and societies at Xiamen University Malaysia?,"The overall goal of joining clubs and societies at Xiamen University Malaysia is to ""Unleash Your Potential"" through Extra-Curricular Activities (ECA).","potential,ECA,activities,growth"
campus_life,general_info,What types of activities do sports clubs offer?,"Sports clubs offer activities to fuel competitive spirit and help students stay active, catering to every level of athletic ability.","sports,active,competitive,athletic"
campus_life,general_info,Can you list some of the sports clubs available at Xiamen University Malaysia?,"Some of the sports clubs available include Badminton Club, Swimming Club, Acrux Cheerleading Club, Football Club, Martial Arts Club, Basketball Club (Sharks), Table Tennis Club, Tennis Club, Volleyball Club, Track & Field Club, Fitness Club, Outdoor Adventure Club, Kendo Club, Chess Club, Blaze Dodgeball Club, Ultimate Frisbee Club (Krakens), E-Sport Club (Vulcan), Scuba Diving Club, and Yoga Club.","sports,list,clubs,physical"
campus_life,general_info,What is the main objective of the 'General' category clubs?,"The main objective of the General clubs is to allow students to explore a wide range of interests, develop new skills, engage in meaningful discussions, connect with peers, and grow personally and socially outside the classroom.","general,skills,social,interests"
campus_life,general_info,Which clubs fall under the 'General' category?,"Clubs under the 'General' category include Board Games Society, XMUM Business Association, Chinese Debate Society, English Language Society, Math Society, Photography Society, Speak-T Society, Environmental Club, Astronomy Club, X-Tech Club, Robotic Club, Rubik's Club, Coding Club, and AI Club.","general,academic,diverse,hobbies"
campus_life,general_info,What talents can students showcase in Performing Arts clubs?,"Students can showcase their talents in music, dance, or drama through Performing Arts clubs, which light up the stage with performances, concerts, and creative showcases.","performing,arts,music,dance"
campus_life,general_info,Name some clubs dedicated to performing arts.,"Performing arts clubs include XMUM Philharmonic Orchestra (XMPO), Music Club, Ukulele Society, Yanan Chinese Orchestra (YCO), Dance Club, Drama Society, 24 Festive Drums Club, and Diabolo Club.","orchestra,drama,dance,music"
campus_life,general_info,What is the focus of the Culture & Arts clubs?,"The focus of the Culture & Arts clubs is to explore creativity and global perspectives through culture, art, and expression, connecting members and bringing diverse worlds to campus life.","culture,art,global,diversity"
campus_life,general_info,Which clubs promote culture and arts?,"Clubs promoting culture and arts are Visual Art Club, Nanqiang Calligraphy Society, Chinese Society, Christian Fellowship Club, Traditional Chinese Medicine Society, Buddhist Society, Korean Cultures & Arts Society, ACG Research Society, Tea Club, Coffee Club - The Brewix, Muslim Society, and Handcraft Society.","cultural,societies,art,traditional"
campus_life,general_info,What is the purpose of Service & Volunteerism clubs?,"The purpose of Service & Volunteerism clubs is to make a difference through community service and social impact initiatives, empowering students to give back, raise awareness, and become agents of positive change.","service,volunteer,community,impact"
campus_life,general_info,List some Service & Volunteerism clubs.,"Some Service & Volunteerism clubs include First Aid Society, AIESEC, Omega Leo Club, Rotaract Club, and Youth Leader Association.","charity,help,aid,leadership"
campus_life,general_info,What do International Communities clubs offer students?,"International Communities clubs offer students a global community experience on campus, allowing them to celebrate cultural identities, foster cross-cultural understanding, and build global friendships.","international,community,culture,global"
campus_life,general_info,Can you name specific international student communities at Xiamen University Malaysia?,"Specific international student communities are International Student Ambassador (ISA), XMUM Yemen Student Community, XMUM Central Asia Student Community (CASC), and XMUM Indonesian Student Community - Garuda Dwi Pantara (GADPA).","international,students,ambassador,communities"
campus_life,general_info,What is the main website for Xiamen University Malaysia?,"""The main website for Xiamen University Malaysia is www.xmu.edu.my.""","""website"
campus_life,general_info,What is the general enquiry phone number for the Malaysia Campus?,"""The general enquiry phone number for the Malaysia Campus is +03 8800 6800.""","""phone"
campus_life,general_info,What is the phone number for course and enrollment enquiries at the Malaysia Campus?,"""The phone number for course and enrollment enquiries at the Malaysia Campus is +03 7610 2079.""","""enrollment"
campus_life,general_info,What is the physical address of Xiamen University Malaysia Campus?,"""The physical address of Xiamen University Malaysia Campus is Jalan Sunsuria",Bandar Sunsuria
campus_life,general_info,How can prospective local students contact Xiamen University Malaysia?,"""Prospective local students can contact Xiamen University Malaysia via email at enquiry@xmu.edu.my.""","""local"
campus_life,general_info,What is the email address for international student enquiries?,"""The email address for international student enquiries is int.enquiry@xmu.edu.my.""","""international"
campus_life,general_info,What is the estimated train travel time from KLIA to Salak Tinggi ERL station?,"""The estimated train travel time from KLIA to Salak Tinggi ERL station is 7 minutes.""","""train"
campus_life,general_info,What is the estimated car travel time from KLIA to Xiamen University Malaysia Campus?,"""The estimated car travel time from KLIA to Xiamen University Malaysia Campus is 20 minutes (approximately 15.3km).""","""car"
campus_life,general_info,What is the contact email for accommodation enquiries?,"""The contact email for accommodation enquiries is studentaccommodation@xmu.edu.my.""","""accommodation"
campus_life,general_info,What are the website and phone numbers for the Xiamen University China Office?,"""The website for the China Office is xmu.edu.cn and the phone numbers are +86 592 2183989 / 2188700.""","""China"
campus_life,library,What book services are available at Xiamen University Malaysia Library?,"The library offers Loan & Return, Fines & Report Lost, Purchase Request, and Document Delivery services.","book,services,loan,return"
campus_life,library,What learning services are provided by the Xiamen University Malaysia Library?,"Learning services include Moodle, Turnitin, Computers, Printing, and Scholarly Work support.","learning,services,Moodle,printing"
campus_life,library,What e-resources can be accessed through the Xiamen University Malaysia Library?,"Users can access Library E-Resources, OPAC, E-Books, and E-Journals.","e-resources,OPAC,e-books,e-journals"
campus_life,library,What is the OPAC system and what are its functions?,"The OPAC (Online Public Access Catalog) system allows patrons to search diverse book collections (course reserves, reference, general reading), access account information, check borrowed books, and view fines.","OPAC,catalog,search,books"
campus_life,library,What are the Xiamen University Malaysia Library's opening hours during the semester?,"During the semester (from April 6, 2026 onwards), the library is open Monday - Friday from 09:00 - 22:00, and Saturday - Sunday from 09:00 - 17:00.","opening hours,semester,schedule,library"
campus_life,library,What are the Xiamen University Malaysia Library's opening hours during semester breaks?,"During semester breaks, the library is open Monday - Friday from 09:00 - 17:00 and is closed on Saturday - Sunday.","semester break,hours,closed,library"
campus_life,library,How do public holidays affect the library's opening hours during the semester?,"On some public holidays like Eid al-Adha or Wesak Day (May 27, May 31, June 2, 2026), the library is open from 09:00 - 17:00. On others, like Agong's Birthday (June 1, 2026), it is closed.","public holidays,hours,closed,open"
campus_life,library,Where can I find information about the Makerspace at Xiamen University Malaysia Library?,"Information is available regarding About Makerspace, How to Apply, Safety Guidelines, Rules and Regulations, and the Makerspace Calendar.","Makerspace,apply,guidelines,rules"
campus_life,library,What types of physical spaces are available at the Xiamen University Malaysia Library?,"The library offers various spaces including a Makerspace, Instruction Room, and a Mini Cinema (with 3D).","spaces,cinema,instruction,Makerspace"
campus_life,library,How can users stay updated on changes to the library's operating hours?,Operating hours are subject to change; users should refer to the latest announcements on the library website or contact librarian@xmu.edu.my.,"hours,changes,contact,website"
academic_navigation,courses_syllabus,What types of undergraduate programmes does Xiamen University Malaysia (XMUM) offer?,"XMUM offers a wide range of carefully designed undergraduate programmes spanning academic disciplines like business, communication, science, technology, arts and social sciences, energy and chemical engineering, marine sciences, computing and data science, artificial intelligence and robotics, mathematics and physics, and traditional Chinese medicine.","programmes,disciplines,fields,range"
academic_navigation,courses_syllabus,What specific programmes are offered under Economics and Management?,"Under Economics and Management, XMUM offers Bachelor of Management in Accounting (Honours), Bachelor of Economics in Finance (Honours), Bachelor of Management in International Business (Honours), Bachelor of Management in E-Commerce (Honours), and Bachelor of Management in Hospitality Management (Honours).","Economics,Management,programmes,degrees"
academic_navigation,courses_syllabus,What specific programmes are offered under Communication?,"Under Communication, XMUM offers Bachelor of Arts in Journalism (Honours), Bachelor of Arts in Advertising (Honours), and Bachelor of Arts in Communication (Honours).","Communication,Journalism,Advertising,Arts"
academic_navigation,courses_syllabus,What specific programmes are offered under Computing and Data Science?,"Under Computing and Data Science, XMUM offers Bachelor of Engineering in Computer Science and Technology (Honours), Bachelor of Engineering in Software Engineering (Honours), Bachelor of Engineering in Digital Media Technology (Honours), Bachelor of Engineering in Cyber Security (Honours), and Bachelor of Engineering in Data Science (Honours).","Computing,Data Science,Engineering,Software"
academic_navigation,courses_syllabus,What specific programmes are offered under Artificial Intelligence and Robotics?,"Under Artificial Intelligence and Robotics, XMUM offers Bachelor of Electrical and Electronics Engineering (Hons), Bachelor of Engineering in Artificial Intelligence (Honours), and Bachelor of Robotics and Automation Engineering with Honours.","AI,Robotics,Engineering,Electrical"
academic_navigation,courses_syllabus,How many methods are available to apply to XMUM?,"There are three easy methods to apply to XMUM: Online Application, Email Application, and Paper Application.","application,methods,apply,enrollment"
academic_navigation,courses_syllabus,What is the application fee for XMUM?,The application fee for XMUM is RM100 and is non-refundable.,"application,fee,cost,non-refundable"
academic_navigation,courses_syllabus,What is the registration fee for XMUM?,The registration fee for XMUM is RM200 and is non-refundable.,"registration,fee,cost,non-refundable"
academic_navigation,courses_syllabus,What payment methods are accepted for fees at XMUM?,"XMUM accepts Cash, Cheque or Bank Draft, Bank Transfer, and Flywire (for new international students).","payment,methods,fees,options"
academic_navigation,courses_syllabus,Who is the beneficiary for fee payments made via bank transfer?,"The beneficiary for fee payments made via bank transfer is ""XMU JIAGENG EDUCATION DEVELOPMENT SDN BHD"".","beneficiary,payment,bank,transfer"
academic_navigation,courses_syllabus,What are the required supporting documents for application?,"Required supporting documents include a certified copy of academic transcripts, a certified copy of diploma/certificate, NRIC (Malaysians) or passport (International), Scholarship & Grant Form (if applicable), and proof of fee payment.","documents,required,application,supporting"
academic_navigation,courses_syllabus,How can students apply for on-campus accommodation?,"Students may apply for on-campus accommodation during the application process, with details provided in the official application materials.","accommodation,on-campus,apply,housing"
academic_navigation,courses_syllabus,Who should be contacted for admissions inquiries at XMUM?,"For admissions inquiries, you can contact admissions@xmu.edu.my.","admissions,contact,email,inquiry"
academic_navigation,courses_syllabus,What is Flywire and who is it for?,"Flywire is a service partnered with XMUM to streamline fee payments for international students, allowing them to pay in their home currency with benefits like online payment tracking, no bank fees, and 24/7 multilingual customer support.","Flywire,international,payments,fees"
academic_navigation,courses_syllabus,What are the payment amounts for new international students using Flywire?,"New international students can pay Admin Fees (RM 3,068) or Admin Fees & Security Deposit (RM 4,068) using Flywire.","Flywire,international,fees,deposit"
academic_navigation,courses_syllabus,Where can I find more information about scholarships and financial aids?,"More information about scholarships and financial aids can be found by visiting the ""Scholarships & Financial Aids"" section of the website.","scholarships,financial,aids,information"
campus_life,clubs_activities,What is the Student Helpdesk at Xiamen University Malaysia (XMUM)?,The Student Helpdesk acts as the first point of contact for students to Xiamen University Malaysia (XMUM).,"helpdesk,contact,XMUM,students"
campus_life,clubs_activities,What types of assistance and services does the Student Helpdesk provide?,"The Student Helpdesk provides assistance and services mainly for Student Vehicle Registration, Feedback, Lost and Found, Student Verification, Student Personal Accident Insurance, and PTPTN Enquiries.","services,assistance,helpdesk,student"
campus_life,clubs_activities,Does the Student Helpdesk assist with student vehicle registration?,"Yes, the Student Helpdesk provides assistance for Student Vehicle Registration.","vehicle,registration,student,campus"
campus_life,clubs_activities,Can students provide feedback through the Student Helpdesk?,"Yes, the Student Helpdesk provides services for students to submit Feedback.","feedback,suggestions,student"
campus_life,clubs_activities,Where can students report lost items or inquire about found items?,Students can utilize the Student Helpdesk for Lost and Found services.,"lost,found,items,helpdesk"
campus_life,clubs_activities,For what purposes does the Student Helpdesk offer Student Verification?,The Student Helpdesk offers Student Verification for purposes such as lost/damaged student ID card reports and public transport discount card registration.,"verification,ID card,transport,discount"
campus_life,clubs_activities,Does the Student Helpdesk provide services related to student personal accident insurance?,"Yes, the Student Helpdesk provides services concerning Student Personal Accident Insurance.","insurance,accident,personal,student"
campus_life,clubs_activities,Can students make PTPTN enquiries at the Student Helpdesk?,"Yes, the Student Helpdesk handles PTPTN Enquiries.","PTPTN,enquiries,financial,loan"
academic_navigation,documents_identity,What is a Campus ID?,A Campus ID is a unique identification card for all staff and students.,"identification,staff,students,unique"
academic_navigation,documents_identity,How do I set or reset my Campus ID password?,"Upon receiving your Campus ID, you need to access https://id.xmu.edu.my to set or reset your password. A link will be sent to your Campus Email Address (Outlook Inbox/Spam/Junk).","password,reset,set,email"
academic_navigation,documents_identity,What are the main uses of the Campus ID and password?,"The Campus ID and password can be used to log in to multiple information service systems, including borrowing books, self-service printing, door access, discussion room booking, VPN access, Moodle, Academic Affairs Online Systems, upcoming student portal, and Turnitin. The Campus ID (ECard) can also be used in canteens, supermarkets, and for paying fines in the Library.","uses,services,login,access"
academic_navigation,documents_identity,What is the fee for a replacement Campus ID card?,"A replacement card is free of charge only if your card is stolen (with a police report presented), damaged, or no longer works. Otherwise, a lost card fee of RM30 will be imposed for a replacement Campus Staff/Student ID ECard.","fee,replacement,lost,stolen"
academic_navigation,documents_identity,How do students apply for a replacement Campus ID card?,"Students should email or visit B1-107 (Student Affairs Office) to report a lost Campus/Student ID. After reporting, proceed to make payment at the Finance office before submitting the card replacement form to IT.","students,replacement,lost,process"
academic_navigation,documents_identity,How do staff apply for a replacement Campus ID card?,"Staff should fill in the ""Staff ECard Replacement eForm"", proceed to make payment of RM30 at the Finance office, and then submit the card replacement form to IT.","staff,replacement,lost,eForm"
academic_navigation,documents_identity,When do new and progress students need to upload their photo for the Campus ECard?,"New and progress students need to upload their photo by the first week of new class commencement. More details can be found on ""How to upload a photo for Campus ECard processing.""","photo,upload,new students,deadline"
academic_navigation,documents_identity,When is a Campus ID inactivated?,Your Campus ID will be inactivated once you have left or graduated from the University.,"inactivated,graduated,left,university"
