module,question,answer,keywords
admission_faq,"Do students have opportunities to study abroad?","Yes. XMUM collaborates with more than 40 partner universities, providing students with opportunities to study abroad or join exchange programmes for one semester or an academic year. Students may also undertake internships or pursue postgraduate studies either in Malaysia or overseas. The international recognition of XMUM’s qualifications further supports graduates in building strong and successful careers.","study abroad, exchange, international, opportunities"
admission_faq,"How to apply to study at XMUM?","To study here, the applicant can submit an online application, an email application or a paper application.","application, how to apply, online, email"
admission_faq,"What is the entry requirement for each programme?","To be eligible for XMUM’s foundation programmes, the applicant needs to possess either of the following qualifications - SPM, O-level, etc. To be eligible for XMUM’s undergraduate programmes, the applicant needs to possess either of the following qualifications - STPM, UEC, matriculation, foundation, A-level, diploma, etc.","entry requirements, foundation, undergraduate, qualifications"
admission_faq,"How many intakes are there in one year?","For undergraduate programmes, the intakes are in February, April and September. For foundation programmes, the intakes are in April, August, and December.","intakes, admissions, enrollment, dates"
admission_faq,"After gaining a letter of acceptance, what should an applicant do next?","The applicant needs to sign the Student Acceptance Slip and email the scanned copy to the Admissions Office (admissions@xmu.edu.my).","acceptance, post-offer, next steps, email"
admission_faq,"How much does a degree cost?","For tuition fees, please click here.","tuition fees, cost, degree, expenses"
admission_faq,"Does XMUM provide any scholarships? What are the minimum requirements for receiving the scholarships?","Merit-based scholarships are available based on the academic achievements of students. Study grants are provided to students with siblings studying at XMUM or students whose parents are teachers.","scholarships, financial aid, grants, merit-based"
admission_faq,"Is on-campus accommodation provided?","XMUM provides on-campus accommodation to all registered students. Students are encouraged to live in campus residences, as living on campus fosters a spirit of cooperation and camaraderie that develops into lifelong friendships, and facilitates participation in extra-curricular activities through various cultural, recreational and social programmes.","accommodation, on-campus, housing, residence"
admission_faq,"How much is the rental?","The rental ranges from RM 340 to RM 460 per month. Each of the registered student who lives in the campus residences is required to pay a deposit of RM500 (refundable) together with one-semester rental upon check-in.","rental, cost, deposit, monthly"
admission_faq,"What security precautions does the University take on campus?","The hostel is guarded by security guards and is under 24 hour CCTV surveillance every day. We have also installed access controller for main entrances of each hostel block and students need to get through by their Student ID card. Unauthorized guests are barred from entering or staying in the compound of student hostels including rooms and communal areas.","security, safety, hostel, CCTV"
admission_faq,"Do students need to observe any curfew regulation?","The curfew set for the residences is 12:00 am. Residents who wish to leave or return to the campus ground after 12:00 am must report at the guardhouse with their student IDs.","curfew, regulations, hostel, reporting"
admission_faq,"Are there any laundry facilities available?","Yes, there is a laundry room on the ground floor of each block, providing high-efficiency and fully automatic washing machines and dryers.","laundry, facilities, washing, dryers"
admission_faq,"Are students allowed to stay in the hostel during semester breaks?","Yes, students can stay on campus during semester breaks.","semester break, stay, hostel"
admission_faq,"Do students need to bring their own cleaning supplies to clean their rooms?","Yes, students need to bring cleaning supplies, as they are responsible for the tidiness and cleanliness of their own bedrooms.","cleaning, supplies, rooms, responsibility"
admission_faq,"Is mattress provided in the room?","Yes, we provide quality mattress. However, students need to bring their own pillows and other necessary bedding items.","mattress, bedding, room, provided"
admission_faq,"Is electric fan allowed to be used in the hostel room?","There is an air-conditioner in each room. If it is necessary, students may bring their own electric fan.","electric fan, air-conditioner, room, appliances"
admission_faq,"Is there a variety of food offered at XMUM canteen?","Yes, there are different vendors selling different types of food, catering to the different needs of students.","food, canteen, vendors, dining"
admission_faq,"What kind of sports facilities does XMUM provide?","We have indoor and outdoor basketball courts, an Olympic-sized football field, a track, a gymnasium, a table tennis room, a badminton court, an Olympic-sized swimming pool, a gymnastic room, a martial arts room, a yoga room, etc. Currently, all of the facilities above are free and accessible to all the staff and students.","sports, facilities, recreation, free"
admission_faq,"Are there any student insurance plans available?","XMUM purchases student personal accident insurance plan to provide adequate coverage for all the registered students. The personal accident insurance covers the cost of hospitalization. However, students need to pay the difference if the medical charges exceed the maximum coverage amount.","insurance, accident, medical, coverage"
admission_faq,"Where can students get medical assistance?","We have a clinic on campus, which operates 24 hours a day.","medical, clinic, health, assistance"
admission_faq,"In an event of an emergency, who should be contacted?","In an event of an emergency, students should call the 24-hour XMUM Emergency Helpline - 0193489999. They could also contact the police stations in Sepang, Dengkil and Bandar Baru Salak Tinggi, by calling the numbers 03-31421222, 03-87686222 and 03-87774484 respectively.","emergency, contact, helpline, police"
admission_faq,"Are there counselling services available to students?","Yes, we have a Counselling Center which provides a range of free and strictly confidential services to promote the intellectual, emotional, social growth and development of XMUM students. The range of services include Individual counselling, group counselling, psychological testing, etc.","counselling, mental health, support, free"
